FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
13-feb-13,MEX.,"NAUCALPAN DE JUAREZ, MEX.",29,14,43,0,8,263,
25-feb-13,MEX.,"TECAMAC, MEX.",30,13,43,0,5,770,
05-mar-13,DGO.,"DGO., DGO.",33,10,43,11,2,0,
07-mar-13,D.F.,"IZTACALCO, D.F.",33,10,43,0,4,650,
07-mar-13,DGO.,"DGO., DGO.",26,17,43,8,2,0,
22-may-13,D.F.,"TLALPAN, D.F.",35,8,43,0,0,148,
30-ago-13,D.F.,"IZTAPALAPA, D.F.",32,11,43,5,0,110,
04-dic-13,D.F.,"CUAUHTEMOC, D.F.",28,15,43,1,3,10,
11-abr-14,D.F.,"MILPA ALTA, D.F.",30,13,43,0,0,60,
16-abr-14,DGO.,"DGO., DGO.",35,8,43,45,1,0,
21-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",39,4,43,0,14,483,
25-abr-14,MEX.,"NEZAHUALCOYOTL, MEX.",41,2,43,0,6,0,
28-abr-14,DGO.,"DGO., DGO.",33,10,43,4,0,0,
23-may-14,D.F.,"COYOACAN, D.F.",27,16,43,0,6,430,
29-jul-14,D.F.,"XOCHIMILCO, D.F.",36,7,43,0,1,10,
10-oct-14,D.F.,"TLALPAN, D.F.",31,12,43,0,1,30,
23-feb-15,D.F.,"IZTAPALAPA, D.F.",29,14,43,0,2,70,
13-mar-15,D.F.,"IZTACALCO, D.F.",31,12,43,0,0,0,
17-mar-15,D.F.,"IZTACALCO, D.F.",29,14,43,0,0,20,
25-ago-15,D.F.,"TLAHUAC, D.F.",36,7,43,0,4,19,
17-sep-15,D.F.,"CUAJIMALPA DE MOR., D.F.",41,2,43,0,3,0,
18-mar-16,D.F.,"TLAHUAC, D.F.",22,21,43,46,0,249,
11-jul-16,D.F.,"GUSTAVO A. MADERO, D.F.",28,15,43,0,0,991,
25-jul-16,D.F.,"GUSTAVO A. MADERO, D.F.",27,16,43,0,0,1828,
10-ago-16,D.F.,"TLALPAN, D.F.",22,21,43,0,0,0,
25-ene-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",37,6,43,0,0,24912,
